# Constructed from biom file
#OTU ID	DNA-3OVK_S2101_R-taxa	DNA-3OWT_S2551_R-taxa	DNA-3OXF_S2771_R-taxa	S001Z-0004_S2501_R-taxa	S001Z-0007_S1661_R-taxa	S001Z-0007_S2811_R-taxa	S001Z-0007_S5342_R-taxa	S001Z-0007_S941_R-taxa	S001Z-0008_S1651_R-taxa	S001Z-0008_S2801_R-taxa	S001Z-0008_S5332_R-taxa	S001Z-0008_S931_R-taxa	S001Z-0014_S1641_R-taxa	S001Z-0014_S2841_R-taxa	S001Z-0014_S5552_R-taxa	S001Z-0015_S1671_R-taxa	S001Z-0015_S2821_R-taxa	S001Z-0015_S5352_R-taxa	S001Z-0015_S951_R-taxa	S001Z-0016_S1681_R-taxa	S001Z-0016_S2831_R-taxa	S001Z-0016_S5362_R-taxa	S001Z-0016_S961_R-taxa	S00SO-0001_S1931_R-taxa	S00SO-0002_S1941_R-taxa	S00SO-0003_S1951_R-taxa	S00SO-0004_S1961_R-taxa	S00SO-0005_S1971_R-taxa	S00SO-0006_S1981_R-taxa	S00SO-0007_S1991_R-taxa	S00SO-0008_S2001_R-taxa	S00SO-0009_S2011_R-taxa	S00SO-0010_S2021_R-taxa	S00SO-0011_S2031_R-taxa	S00SO-0012_S2041_R-taxa	S00SO-0013_S2051_R-taxa	S00SO-0014_S2061_R-taxa	S00SO-0015_S2071_R-taxa	S00SO-0016_S2081_R-taxa	S00SO-0017_S2091_R-taxa	S00SO-0019_S2111_R-taxa	S00SO-0020_S2121_R-taxa	S00SO-0021_S2131_R-taxa	S00SO-0022_S2141_R-taxa	S00SO-0023_S2151_R-taxa	S00SO-0024_S2161_R-taxa	S00SO-0025_S2171_R-taxa	S00SO-0026_S2181_R-taxa	S00SO-0027_S2191_R-taxa	S00SO-0028_S2201_R-taxa	S00SO-0029_S2211_R-taxa	S00SO-0030_S2221_R-taxa	S00SO-0031_S2231_R-taxa	S00SO-0032_S2241_R-taxa	S00SO-0033_S2251_R-taxa	S00SO-0034_S2261_R-taxa	S00SO-0035_S2271_R-taxa	S00SO-0036_S2281_R-taxa	S00SO-0037_S2291_R-taxa	S00SO-0038_S2301_R-taxa	S00SO-0039_S2311_R-taxa	S00SO-0040_S2321_R-taxa	S00SO-0041_S2331_R-taxa	S00SO-0042_S2341_R-taxa	S00SO-0043_S2351_R-taxa	S00SO-0044_S2361_R-taxa	S00SO-0045_S2371_R-taxa	S00SO-0046_S2381_R-taxa	S00SO-0047_S2391_R-taxa	S00SO-0048_S2401_R-taxa	S00SO-0049_S2411_R-taxa	S00SO-0050_S2421_R-taxa	S00SO-0051_S2431_R-taxa	S00SO-0052_S2441_R-taxa	S00SO-0053_S2451_R-taxa	S00SO-0054_S2461_R-taxa	S00SO-0055_S2471_R-taxa	S00SO-0056_S2481_R-taxa	S00SO-0057_S2491_R-taxa	S00SO-0058_S2791_R-taxa	S00SO-0059_S2511_R-taxa	S00SO-0060_S2521_R-taxa	S00SO-0061_S2531_R-taxa	S00SO-0062_S2541_R-taxa	S00SO-0064_S2561_R-taxa	S00SO-0065_S2571_R-taxa	S00SO-0066_S2581_R-taxa	S00SO-0067_S2591_R-taxa	S00SO-0068_S2601_R-taxa	S00SO-0069_S2611_R-taxa	S00SO-0070_S2621_R-taxa	S00SO-0071_S2631_R-taxa	S00SO-0072_S2641_R-taxa	S00SO-0073_S2651_R-taxa	S00SO-0074_S2661_R-taxa	S00SO-0075_S2671_R-taxa	S00SO-0076_S2681_R-taxa	S00SO-0077_S2691_R-taxa	S00SO-0078_S2701_R-taxa	S00SO-0079_S2711_R-taxa	S00SO-0080_S2721_R-taxa	S00SO-0081_S2731_R-taxa	S00SO-0082_S2741_R-taxa	S00SO-0083_S2751_R-taxa	S00SO-0084_S2761_R-taxa	S00SO-0086_S2781_R-taxa	Consensus Lineage
2	28.0	23.0	58.0	16.0	48.0	34.0	55.0	50.0	181.0	49.0	50.0	35.0	4456.0	6035.0	5130.0	5433.0	3858.0	34133.0	5721.0	4904.0	4209.0	34550.0	5978.0	34.0	2205.0	6970.0	10158.0	9039.0	71.0	110.0	10309.0	10371.0	42.0	42.0	4316.0	8142.0	33936.0	669.0	41.0	10509.0	549.0	832.0	75.0	6327.0	6563.0	46.0	217.0	2466.0	3672.0	29.0	48.0	374.0	11915.0	7758.0	9953.0	9451.0	45.0	55.0	55.0	10276.0	7487.0	43.0	26.0	41.0	105.0	4033.0	43.0	17787.0	41.0	291.0	8554.0	7254.0	6497.0	34.0	4612.0	13480.0	7123.0	72.0	6576.0	19121.0	2995.0	6139.0	32.0	6737.0	31.0	8127.0	9701.0	6005.0	5538.0	3129.0	6389.0	61.0	12105.0	2030.0	2139.0	175.0	41.0	873.0	12935.0	75.0	51.0	7767.0	10469.0	47.0	247.0	4735.0	k__Bacteria; p__; c__; o__; f__; g__; s__
976	11.0	9.0	14.0	9.0	17.0	11.0	11.0	10.0	21.0	25.0	7.0	11.0	20.0	9.0	2.0	56.0	16.0	13.0	12.0	17.0	8.0	21.0	14.0	4.0	8.0	6.0	11.0	17.0	13.0	15.0	15.0	32.0	20.0	21.0	11.0	7.0	21.0	14.0	10.0	10.0	565.0	37.0	17.0	7.0	13.0	21.0	13.0	12.0	16.0	10.0	8.0	12.0	13.0	20.0	14.0	12.0	10.0	7.0	6.0	13.0	7.0	9.0	12.0	12.0	13.0	10.0	14.0	15.0	25.0	19.0	13.0	14.0	9.0	10.0	7.0	11.0	18.0	19.0	12.0	19.0	27.0	5.0	7.0	14.0	12.0	12.0	13.0	12.0	6.0	18.0	9.0	17.0	15.0	33.0	20.0	17.0	19.0	43.0	17.0	32.0	22.0	15.0	27.0	17.0	9.0	44.0	k__Bacteria; p__Bacteroidota; c__; o__; f__; g__; s__
171549	64.0	77.0	103.0	59.0	106.0	63.0	38.0	80.0	466.0	124.0	79.0	101.0	87.0	89.0	15.0	207.0	72.0	95.0	99.0	104.0	60.0	133.0	106.0	75.0	81.0	78.0	88.0	107.0	92.0	108.0	132.0	592.0	76.0	83.0	80.0	109.0	107.0	96.0	84.0	85.0	12204.0	709.0	97.0	73.0	87.0	99.0	86.0	107.0	100.0	82.0	105.0	98.0	72.0	94.0	75.0	81.0	83.0	103.0	94.0	82.0	106.0	124.0	111.0	90.0	125.0	75.0	126.0	104.0	122.0	143.0	98.0	67.0	57.0	62.0	84.0	58.0	88.0	84.0	54.0	137.0	184.0	65.0	78.0	61.0	86.0	78.0	109.0	91.0	85.0	105.0	66.0	99.0	93.0	253.0	243.0	188.0	159.0	312.0	181.0	292.0	193.0	111.0	155.0	169.0	86.0	269.0	k__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__; g__; s__
815	17.0	20.0	34.0	15.0	42.0	18.0	31.0	32.0	198.0	35.0	21.0	42.0	30.0	24.0	8.0	62.0	30.0	12.0	47.0	34.0	27.0	24.0	31.0	25.0	30.0	25.0	22.0	34.0	28.0	40.0	46.0	239.0	25.0	24.0	20.0	28.0	21.0	22.0	21.0	33.0	19436.0	1039.0	51.0	26.0	23.0	34.0	49.0	33.0	38.0	33.0	50.0	26.0	40.0	30.0	29.0	35.0	30.0	31.0	34.0	29.0	27.0	35.0	37.0	42.0	42.0	35.0	43.0	36.0	31.0	43.0	32.0	29.0	17.0	25.0	33.0	30.0	30.0	42.0	28.0	45.0	61.0	16.0	18.0	23.0	26.0	37.0	30.0	19.0	25.0	20.0	28.0	33.0	46.0	48.0	58.0	71.0	36.0	102.0	52.0	95.0	50.0	32.0	49.0	38.0	19.0	100.0	k__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__; s__
816	100.0	96.0	120.0	112.0	172.0	110.0	68.0	119.0	655.0	277.0	81.0	143.0	134.0	115.0	14.0	256.0	132.0	199.0	150.0	156.0	148.0	184.0	223.0	133.0	121.0	151.0	100.0	108.0	91.0	139.0	232.0	907.0	126.0	127.0	146.0	125.0	152.0	124.0	132.0	116.0	78676.0	6230.0	191.0	101.0	117.0	197.0	128.0	131.0	130.0	99.0	129.0	99.0	146.0	165.0	138.0	98.0	179.0	116.0	114.0	122.0	142.0	228.0	170.0	130.0	178.0	110.0	110.0	131.0	138.0	227.0	91.0	96.0	126.0	67.0	102.0	100.0	123.0	156.0	97.0	182.0	211.0	58.0	61.0	67.0	137.0	142.0	153.0	168.0	76.0	111.0	122.0	152.0	227.0	194.0	270.0	265.0	176.0	280.0	226.0	400.0	304.0	166.0	215.0	211.0	160.0	284.0	k__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__
817	84.0	16.0	39.0	8.0	30.0	13.0	4.0	16.0	74.0	36.0	5.0	46.0	21.0	32.0	6.0	29.0	8.0	12.0	28.0	37.0	318.0	14.0	5.0	13.0	16.0	358.0	33.0	39.0	16.0	36.0	13.0	19211.0	14.0	367.0	33.0	35.0	28.0	17.0	16.0	92.0	1990575.0	102037.0	1209.0	161.0	174.0	153.0	21.0	7.0	267.0	37.0	48.0	23.0	35.0	15.0	17.0	10.0	289.0	28.0	43.0	22.0	39.0	13.0	17.0	17.0	300.0	28.0	52.0	21.0	30.0	11.0	24.0	9.0	286.0	27.0	36.0	17.0	19.0	16.0	17.0	32.0	208.0	30.0	30.0	15.0	7.0	18.0	20.0	325.0	38.0	41.0	21.0	37.0	16.0	18.0	16.0	351.0	49.0	58.0	17.0	93.0	23.0	23.0	10.0	303.0	54.0	33.0	k__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__fragilis
820	66.0	88.0	123.0	87.0	140.0	73.0	104.0	137.0	414.0	164.0	75.0	123.0	142.0	95.0	18.0	336.0	90.0	146.0	128.0	152.0	67.0	202.0	141.0	91.0	113.0	76.0	94.0	79.0	117.0	128.0	149.0	167.0	138.0	138.0	125.0	147.0	164.0	153.0	123.0	84.0	952.0	472.0	87.0	80.0	75.0	126.0	98.0	125.0	111.0	99.0	121.0	77.0	131.0	136.0	76.0	93.0	100.0	115.0	100.0	103.0	112.0	122.0	122.0	142.0	154.0	115.0	142.0	173.0	163.0	153.0	66.0	85.0	73.0	83.0	81.0	93.0	104.0	113.0	85.0	158.0	152.0	73.0	90.0	84.0	116.0	95.0	140.0	113.0	127.0	129.0	135.0	157.0	156.0	128.0	184.0	142.0	113.0	256.0	148.0	321.0	144.0	110.0	167.0	140.0	108.0	312.0	k__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__uniformis
46506	33.0	53.0	8.0	42.0	121.0	27.0	9.0	19.0	190.0	62.0	17.0	18.0	88.0	22.0	2.0	197.0	53.0	42.0	61.0	105.0	23.0	14.0	61.0	42.0	61.0	41.0	35.0	28.0	49.0	77.0	73.0	24.0	42.0	28.0	28.0	28.0	32.0	52.0	35.0	22.0	175.0	54.0	13.0	15.0	46.0	47.0	32.0	44.0	41.0	17.0	31.0	21.0	53.0	51.0	145.0	145.0	161.0	86.0	116.0	134.0	152.0	184.0	57.0	63.0	37.0	38.0	58.0	51.0	98.0	65.0	23.0	65.0	44.0	40.0	34.0	45.0	74.0	69.0	35.0	42.0	317.0	42.0	31.0	33.0	57.0	30.0	64.0	35.0	28.0	19.0	17.0	57.0	59.0	210.0	221.0	186.0	172.0	188.0	291.0	348.0	275.0	15.0	46.0	29.0	19.0	36.0	k__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__stercoris
246787	33.0	30.0	62.0	19.0	94.0	35.0	3.0	57.0	66.0	53.0	30.0	63.0	84.0	38.0	3.0	117.0	38.0	252.0	43.0	90.0	40.0	24.0	34.0	35.0	31.0	43.0	37.0	98.0	72.0	45.0	28.0	85.0	48.0	50.0	51.0	88.0	73.0	35.0	28.0	28.0	622.0	302.0	74.0	72.0	34.0	34.0	33.0	31.0	34.0	33.0	86.0	66.0	39.0	34.0	30.0	35.0	43.0	43.0	52.0	78.0	36.0	25.0	48.0	24.0	65.0	34.0	79.0	55.0	35.0	39.0	27.0	31.0	36.0	32.0	57.0	54.0	40.0	20.0	23.0	36.0	32.0	37.0	51.0	38.0	13.0	51.0	35.0	41.0	34.0	73.0	62.0	39.0	40.0	62.0	157.0	189.0	53.0	85.0	61.0	99.0	31.0	26.0	74.0	60.0	192.0	56.0	k__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__cellulosilyticus
818	21.0	22.0	36.0	20.0	33.0	27.0	19.0	39.0	41.0	44.0	22.0	32.0	32.0	31.0	8.0	63.0	40.0	27.0	56.0	35.0	39.0	39.0	57.0	27.0	26.0	38.0	22.0	31.0	35.0	62.0	34.0	105.0	32.0	20.0	14.0	21.0	14.0	26.0	31.0	29.0	8565.0	468.0	38.0	40.0	17.0	51.0	26.0	41.0	45.0	27.0	21.0	51.0	40.0	48.0	22.0	20.0	27.0	15.0	23.0	38.0	40.0	46.0	38.0	35.0	36.0	27.0	46.0	35.0	28.0	52.0	16.0	27.0	21.0	24.0	16.0	25.0	35.0	27.0	14.0	33.0	44.0	18.0	12.0	19.0	40.0	14.0	36.0	40.0	26.0	27.0	33.0	35.0	57.0	39.0	82.0	54.0	32.0	51.0	39.0	127.0	59.0	20.0	60.0	40.0	25.0	78.0	k__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__thetaiotaomicron
